ОТЧЁТ О РЕДАКТУРЕ ТУРИСТИЧЕСКИХ ОПИСАНИЙ
Рабочая папка: C:\Work\khakaton_2026_dataset
Дата: 11.09.2026

1. Обработанные файлы

- 02_place_descriptions\museum_descriptions.md — проверено 54, исправлено 14, без изменений 40.
- 02_place_descriptions\history_descriptions.md — проверено 596, исправлено 596, без изменений 0.
- 02_place_descriptions\religion_architecture_descriptions.md — проверено 157, исправлено 157, без изменений 0.
- 02_place_descriptions\theatre_descriptions.md — проверено 24, исправлено 14, без изменений 10.
- 02_place_descriptions\art_descriptions.md — проверено 339, исправлено 339, без изменений 0.
- 02_place_descriptions\literature_descriptions.md — проверено 70, исправлено 52, без изменений 18.
- 02_place_descriptions\walks_parks_descriptions.md — проверено 167, исправлено 167, без изменений 0.
- 02_place_descriptions\viewpoint_descriptions.md — проверено 33, исправлено 32, без изменений 1.
- 02_place_descriptions\tatar_food_descriptions.md — проверено 14, исправлено 13, без изменений 1.

Всего проверено: 1454 описания.
Исправлено: 1384.
Оставлено без изменений: 70.

2. Выполненная редактура

- Удалены служебные упоминания OSM, исходных записей, тегов, датасетов и процесса подготовки.
- Описания переписаны простым туристическим языком с сохранением подтверждённых фактов.
- Устранены повторы, канцелярские обороты, рекламные преувеличения и ошибки согласования.
- Даты вида YYYY-MM-DD преобразованы в естественную русскую запись.
- Названия, адреса, координаты, OSM id и строки источников сохранены.

3. Проверка структуры

- Все 9 JSON-файлов успешно разобраны; синтаксических ошибок не обнаружено.
- До и после редактуры сохранены 1454 точки и 1454 непустых описания.
- Порядок и состав OSM id совпадают с исходными JSON.
- В каждой карточке сохранены заголовок, id, адрес или координаты, описание и источники.
- Все 1454 строки источников содержат сайты.
- Остальные структурированные поля markdown-файлов совпадают с резервными копиями.
- HTML-теги, пустые описания и повреждение текста не обнаружены.

4. Отсутствующие и некорректные описания

Места без описания: не обнаружены.
Пустые описания: не обнаружены.
Повреждённые описания: не обнаружены.

5. Записи для ручной проверки

Всего: 426. Для них сохранено краткое фактическое описание, но данных недостаточно для полной идентификации. В перечень также включён проект музея в самолёте Ту-144, для которого необходимо проверить актуальную доступность посещения.

museum — 10:
- node/12995828501 | Музей масштабных автомобилей
- way/189631240 | Без названия — парк или озеленённая прогулочная территория (55.8225295, 49.0609614)
- way/189631242 | Без названия — парк или озеленённая прогулочная территория (55.8242165, 49.0560126)
- way/224759857 | Без названия — парк или озеленённая прогулочная территория (55.8290262, 49.0933413)
- way/226195823 | Без названия — парк или озеленённая прогулочная территория (55.8126894, 49.064532)
- way/232405741 | Без названия — парк или озеленённая прогулочная территория (55.7421819, 49.1839698)
- way/233725216 | Без названия — парк или озеленённая прогулочная территория (55.7720125, 49.1397436)
- way/242923937 | Без названия — парк или озеленённая прогулочная территория (55.832934, 49.0510103)
- way/251795820 | Без названия — парк или озеленённая прогулочная территория (55.7837203, 49.110806)
- way/255361138 | Без названия — парк или озеленённая прогулочная территория (55.8570559, 49.0777182)
- way/257050018 | Без названия — парк или озеленённая прогулочная территория (55.7835525, 49.1559848)
- way/263174148 | Без названия — парк или озеленённая прогулочная территория (55.7733422, 49.1477429)
- way/283052763 | Без названия — парк или озеленённая прогулочная территория (55.8337648, 49.0767095)
- way/338125626 | Без названия — парк или озеленённая прогулочная территория (55.8515063, 49.2544513)
- way/343267565 | Без названия — парк или озеленённая прогулочная территория (55.8628228, 49.2322753)
- way/348282215 | Без названия — сад (55.7671272, 49.1340409)
- way/348282216 | Без названия — сад (55.7669128, 49.1336493)
- way/378555534 | Без названия — сад (55.7954716, 49.1227841)
- way/409964576 | Без названия — парк или озеленённая прогулочная территория (55.7752161, 49.1435986)
- way/41183806 | Без названия — парк или озеленённая прогулочная территория (55.8532069, 49.0800139)
- way/41184763 | Без названия — парк или озеленённая прогулочная территория (55.8427482, 49.0854284)
- way/496914530 | Без названия — парк или озеленённая прогулочная территория (55.7794552, 49.1353326)
- way/515915556 | Без названия — парк или озеленённая прогулочная территория (55.8720504, 49.2231287)
- way/544551586 | Без названия — парк или озеленённая прогулочная территория (55.7836126, 49.1101909)
- way/544950032 | Без названия — парк или озеленённая прогулочная территория (55.8790347, 49.094172)
- way/558311079 | Без названия — парк или озеленённая прогулочная территория (55.8310759, 49.0936681)
- way/560057549 | Без названия — парк или озеленённая прогулочная территория (55.8331794, 49.1070019)
- way/57026636 | Без названия — парк или озеленённая прогулочная территория (55.8026188, 49.1860191)
- way/630271315 | Без названия — парк или озеленённая прогулочная территория (55.7895794, 49.2228803)
- way/685805841 | Без названия — парк или озеленённая прогулочная территория (55.820447, 49.0538148)
- way/70910492 | Без названия — парк или озеленённая прогулочная территория (55.827876, 49.1347561)
- way/71169968 | Без названия — парк или озеленённая прогулочная территория (55.8320578, 49.0918355)
- way/73833606 | Без названия — парк или озеленённая прогулочная территория (55.830079, 49.0800484)
- way/76250823 | Без названия — парк или озеленённая прогулочная территория (55.8726271, 49.0142994)
- way/81560132 | Без названия — парк или озеленённая прогулочная территория (55.7862826, 49.1061438)
- way/83520532 | Без названия — парк или озеленённая прогулочная территория (55.8218919, 49.0641084)
- way/83537507 | Без названия — парк или озеленённая прогулочная территория (55.8379557, 49.0800495)
- way/83537685 | Без названия — парк или озеленённая прогулочная территория (55.8317631, 49.0903696)
- way/886916833 | Без названия — парк или озеленённая прогулочная территория (55.7698482, 49.2264041)
- way/901809059 | Без названия — парк или озеленённая прогулочная территория (55.8308376, 49.0907806)
- way/95852910 | Без названия — сад (55.6802279, 49.1663446)
- way/965589267 | Без названия — парк или озеленённая прогулочная территория (55.8580629, 49.23013)
- way/96668871 | Без названия — парк или озеленённая прогулочная территория (55.7731364, 49.1417316)
- way/99242833 | Без названия — парк или озеленённая прогулочная территория (55.7787809, 49.1407203)
- way/99242862 | Без названия — парк или озеленённая прогулочная территория (55.7792738, 49.1395836)
- way/992436222 | Без названия — парк или озеленённая прогулочная территория (55.7632507, 49.1493083)
- way/99288825 | Без названия — парк или озеленённая прогулочная территория (55.7910727, 49.1230435)
- way/99288827 | Без названия — сад (55.7911778, 49.1221898)
- way/99288831 | Без названия — парк или озеленённая прогулочная территория (55.7876018, 49.1264174)
- way/99288832 | Без названия — парк или озеленённая прогулочная территория (55.7916144, 49.1215731)
- way/99288865 | Без названия — парк или озеленённая прогулочная территория (55.7912975, 49.1223339)

viewpoint — 29:
- node/10038699084 | Без названия — рядом с церковью Николы Ратного в Кремле
- node/10655109906 | Без названия — у Музея естественной истории Татарстана
- node/10655109907 | Без названия — у барельефа в память о группе Курмашева
- node/11130696196 | Без названия — точка (55.9014199, 49.1562612)
- node/11323234538 | Без названия — у монумента «Хоррият»
- node/11323234542 | Без названия — примерно в 190 метрах от Закабанной мечети
- node/11738624736 | Без названия — точка (55.7732768, 49.0908394)
- node/11738624737 | Без названия — точка (55.773869, 49.0908476)
- node/12260612588 | Без названия — точка (55.7983004, 49.0411149)
- node/13354942809 | Без названия — у дома Михляева — Дряблова
- node/14139711524 | Без названия — примерно в 120 метрах от Дома занимательной науки и техники
- node/14143107373 | Без названия — примерно в 130 метрах от Казанского колледжа технологии и дизайна
- node/1585262243 | Без названия — рядом с мечетью Кул-Шариф
- node/2111898341 | Без названия — у Архиерейского дома в Кремле
- node/5102542623 | Без названия — точка (55.8121755, 49.1094036)
- node/6171124376 | Без названия — у руин мавзолея казанских ханов
- node/6477455090 | Без названия — точка (55.8362918, 49.1328483)
- node/6570957702 | Без названия — точка (55.8036559, 48.9797131)
- node/6589217398 | Без названия — точка (55.7840996, 49.119465)
- node/6589217400 | Без названия — точка (55.7726859, 49.0908393)
- node/6589217605 | Без названия — точка (55.8028748, 49.1021219)
- node/8656002817 | Без названия — точка (55.7905384, 49.1186147)
- node/9738588165 | Балкон
- node/9738588195 | Зимняя горка
- node/9861843138 | Без названия — точка (55.7529802, 49.3201404)
- node/9861850421 | Без названия — точка (55.7496418, 49.3240901)
- node/9922511717 | Поваленное дерево
- way/1167927203 | Без названия — точка (55.8020889, 49.072925)
- way/278539273 | Без названия — точка (55.8361793, 49.1232414)

tatar_food — 3:
- node/5865719685 | Авылым
- node/9300373817 | Алан Аш
- node/9661591336 | Домашняя столовая

6. Итог

Отредактировано 1384 из 1454 описаний; 70 текстов уже соответствовали требованиям и оставлены без изменений. Структура файлов и количество записей сохранены. Резервные копии находятся в папке 04_backups_before_tourist_edit.
